post_id,user_id,timestamp,parent_id,parent_user_id,parent_bloc,bloc,ideology,candidate,frame,strategy,emotion,sentiment,adversary_target,text,is_attack,is_reply,thread_depth,comment_position,time_of_day,day_of_week,is_weekend,campaign_phase,pre_first_round
post_000033,user_03762,2025-08-04,,,,Right-Radical-Conservative,1.0,,democracy/institutions,info-sharing,neutral,neutral,judiciary,Update on judiciary's position. | democracy institutions,0,0,0,0,0,0,0,pre-break,1
reply_000034,user_00891,2025-08-04,reply_000022,user_04491,Right-Traditional,Left,-1.0,Matthei,immigration,attack,disgust,negative,migrants,migrants is destroying our country! Cope harder. | Matthei must be stopped! | immigration borders,1,1,3,1,0,0,0,pre-break,1
reply_000035,user_03853,2025-08-04,post_000030,user_00954,Right-Traditional,Right-Radical-Conservative,0.8641327701664036,,security/crime,attack,anger,negative,traitors within right,Wake up! traitors within right is a threat to everything we stand for. | security violence crime,1,1,1,0,0,0,0,pre-break,1
post_000037,user_02763,2025-08-04,,,,Left,-0.8799715943270536,Kaiser,immigration,info-sharing,joy,positive,the right,Update on the right's position. | Kaiser must act! | immigration borders | great excellent fantastic,0,0,0,0,0,0,0,pre-break,1
post_000039,user_03612,2025-08-04,,,,Right-Traditional,0.6405006038126716,Jara,security/crime,defense,disgust,negative,government,government is right. Evidence shows they're doing what's needed. | Support Jara! | security violence crime | disgusting appalling repulsive,0,0,0,0,0,0,0,pre-break,1
reply_000040,user_00651,2025-08-04,post_000003,user_00313,Right-Radical-Conservative,Right-Traditional,0.4579666184416197,,immigration,attack,disgust,negative,migrants,Wake up! migrants is a threat to everything we stand for. | immigration borders | disgusting appalling repulsive,1,1,1,1,0,0,0,pre-break,1
post_000042,user_01216,2025-08-04,,,,Left,-0.4285350676147114,Jara,corruption,ridicule,disgust,negative,the left,"Yeah right, the left knows what they're doing. Sure. | Jara must act! | corruption scandal",0,0,0,0,0,0,0,pre-break,1
post_000044,user_03499,2025-08-04,,,,Right-Traditional,0.3890186260022668,Kaiser,constitution/process,info-sharing,neutral,neutral,police,Update on police's position. | Kaiser must act! | constitution process democracy,0,0,0,0,0,0,0,pre-break,1
reply_000045,user_01874,2025-08-04,reply_000040,user_00651,Right-Traditional,Left,-0.5743339908516406,Jara,security/crime,defense,pride,positive,the right,the right is right. Evidence shows they're doing what's needed. | Support Jara! | security violence crime | proud support victory,0,1,2,0,0,0,0,pre-break,1
reply_000046,user_03671,2025-08-04,post_000044,user_03499,Right-Traditional,Right-Libertarian,-0.47904472638883633,Kast,democracy/institutions,defense,neutral,neutral,traitors within right,Stand with traitors within right! Our side needs unity against these attacks. | Support Kast! | democracy institutions,0,1,1,0,0,0,0,pre-break,1
post_000048,user_03642,2025-08-04,,,,Right-Radical-Conservative,0.44993541391187797,,constitution/process,ridicule,anger,negative,none,"Sure buddy, none is totally credible. /s | constitution process democracy | outrage furious",0,0,0,0,0,0,0,pre-break,1
reply_000049,user_04973,2025-08-04,post_000033,user_03762,Right-Radical-Conservative,Left,-0.5376519372465683,,democracy/institutions,call-to-action,hope,positive,the right,Everyone needs to vote against the right. | democracy institutions | hope optimistic confident,0,1,1,0,0,0,0,pre-break,1
reply_000050,user_03815,2025-08-04,reply_000025,user_04724,Right-Radical-Conservative,Right-Traditional,0.6346917751454445,Matthei,corruption,defense,fear,negative,police,We must support police because they fight for our side. | Support Matthei! | corruption scandal,0,1,2,0,0,0,0,pre-break,1
reply_000051,user_01297,2025-08-04,post_000033,user_03762,Right-Radical-Conservative,Left,-0.6413312916145542,,democracy/institutions,attack,disgust,negative,the right,We cannot allow the right to continue this madness. You people are pathetic. | democracy institutions,1,1,1,1,0,0,0,pre-break,1
post_000053,user_03387,2025-08-04,,,,Right-Radical-Conservative,1.0,Jara,culture/values,defense,hope,positive,the left,the left is right. Evidence shows they're doing what's needed. | Support Jara! | values family tradition | hope optimistic confident,0,0,0,0,0,0,0,pre-break,1
reply_000054,user_02853,2025-08-04,post_000003,user_00313,Right-Radical-Conservative,Left,-0.6282527712006767,,security/crime,defense,joy,positive,the right,the right is fighting for us. We need to back them up. | security violence crime | great excellent fantastic,0,1,1,2,0,0,0,pre-break,1
reply_000055,user_01052,2025-08-04,reply_000024,user_03886,Left,Right-Libertarian,-0.5722645720239398,,culture/values,attack,fear,negative,traitors within right,Stop traitors within right immediately! You don't understand reality. | values family tradition | worried concerned terrified,1,1,4,0,0,0,0,pre-break,1
post_000057,user_02963,2025-08-04,,,,Left,-0.5431609800028866,Kast,security/crime,defense,joy,positive,the right,Support the right - they represent our values and our movement. | Support Kast! | security violence crime,0,0,0,0,0,0,0,pre-break,1
post_000059,user_00935,2025-08-04,,,,Right-Libertarian,-0.48824386530195046,,democracy/institutions,attack,hope,positive,elites,We cannot allow elites to continue this madness. You people are pathetic. | democracy institutions,1,0,0,0,0,0,0,pre-break,1
reply_000060,user_02936,2025-08-04,reply_000050,user_03815,Right-Traditional,Right-Traditional,0.3541657932963365,,constitution/process,identity-boundary,sadness,negative,migrants,Real Chileans support migrants. | constitution process democracy | sad disappointed devastated,0,1,3,0,0,0,0,pre-break,1
post_000062,user_01191,2025-08-04,,,,Right-Traditional,0.7108683691427501,Kast,corruption,info-sharing,anger,negative,none,Here's what none said about this issue. | Kast must act! | corruption scandal,0,0,0,0,0,0,0,pre-break,1
post_000064,user_01531,2025-08-04,,,,Right-Traditional,0.6637531941697632,Kast,immigration,call-to-action,joy,positive,traitors within right,Everyone needs to vote against traitors within right. | Kast must act! | immigration borders,0,0,0,0,0,0,0,pre-break,1
post_000066,user_01417,2025-08-04,,,,Right-Traditional,0.5243688928264908,Kast,culture/values,defense,pride,positive,police,police is fighting for us. We need to back them up. | Support Kast! | values family tradition | proud support victory,0,0,0,0,0,0,0,pre-break,1
post_000068,user_04587,2025-08-04,,,,Left,-0.5923891247130297,,economy,call-to-action,anger,negative,the right,Support the right now! | economy jobs inflation | outrage furious,0,0,0,0,0,0,0,pre-break,1
reply_000069,user_01419,2025-08-04,post_000028,user_02564,Right-Traditional,Right-Radical-Conservative,1.0,Kast,immigration,attack,fear,negative,traitors within right,Stop traitors within right immediately! You don't understand reality. | Kast must be stopped! | immigration borders | worried concerned terrified,1,1,1,0,0,0,0,pre-break,1
reply_000070,user_02086,2025-08-05,post_000048,user_03642,Right-Radical-Conservative,Right-Libertarian,0.6205991199523361,,culture/values,attack,contempt,negative,traitors within right,Wake up! traitors within right is a threat to everything we stand for. | values family tradition | contemptible beneath us,1,1,1,0,0,1,0,pre-break,1
reply_000071,user_00641,2025-08-05,reply_000031,user_03487,Right-Libertarian,Right-Traditional,0.4119406425784883,Kast,economy,attack,contempt,negative,PC,PC must be defeated. Their supporters are delusional. | Kast must be stopped! | economy jobs inflation | contemptible beneath us,1,1,2,0,0,1,0,pre-break,1
post_000073,user_02500,2025-08-05,,,,Right-Radical-Conservative,0.5834226032250269,Kast,immigration,ridicule,contempt,negative,the right,"Yeah right, the right knows what they're doing. Sure. | Kast must act! | immigration borders",0,0,0,0,0,1,0,pre-break,1
post_000075,user_03883,2025-08-05,,,,Right-Libertarian,0.3570188305900837,Kast,culture/values,call-to-action,anger,negative,government,Support government now! | Kast must act! | values family tradition,0,0,0,0,0,1,0,pre-break,1
reply_000076,user_04080,2025-08-05,post_000021,user_02046,Right-Libertarian,Left,-0.6573107848021603,Kast,security/crime,attack,hope,positive,police,police represents everything wrong. LOL at their agenda. | Kast must be stopped! | security violence crime,1,1,1,2,0,1,0,pre-break,1
reply_000077,user_01424,2025-08-05,reply_000069,user_01419,Right-Radical-Conservative,Right-Traditional,0.753359372547336,Matthei,economy,identity-boundary,sadness,negative,migrants,Real Chileans support migrants. | Matthei must act! | economy jobs inflation | sad disappointed devastated,0,1,2,0,0,1,0,pre-break,1
post_000079,user_02082,2025-08-05,,,,Right-Libertarian,-0.5018866345114421,Jara,constitution/process,defense,joy,positive,media,We must support media because they fight for our side. | Support Jara! | constitution process democracy,0,0,0,0,0,1,0,pre-break,1
post_000081,user_04183,2025-08-05,,,,Right-Radical-Conservative,0.9025125846858337,,constitution/process,call-to-action,hope,positive,migrants,Support migrants now! | constitution process democracy | hope optimistic confident,0,0,0,0,0,1,0,pre-break,1
post_000083,user_03352,2025-08-05,,,,Right-Radical-Conservative,0.5252401011154593,Kast,economy,call-to-action,joy,positive,media,Everyone needs to vote against media. | Kast must act! | economy jobs inflation,0,0,0,0,0,1,0,pre-break,1
post_000085,user_01161,2025-08-05,,,,Right-Radical-Conservative,0.6765055896113437,,corruption,defense,pride,positive,PC,Support PC - they represent our values and our movement. | corruption scandal | proud support victory,0,0,0,0,0,1,0,pre-break,1
reply_000086,user_03610,2025-08-05,reply_000076,user_04080,Left,Right-Radical-Conservative,0.4486629694389053,Kaiser,constitution/process,call-to-action,fear,negative,migrants,Support migrants now! | Kaiser must act! | constitution process democracy | worried concerned terrified,0,1,2,0,0,1,0,pre-break,1
post_000088,user_03743,2025-08-05,,,,Right-Libertarian,-0.37115125142048283,,security/crime,info-sharing,sadness,negative,government,Here's what government said about this issue. | security violence crime,0,0,0,0,0,1,0,pre-break,1
reply_000089,user_01628,2025-08-05,reply_000023,user_04520,Right-Traditional,Right-Traditional,0.6092146343616536,Kast,constitution/process,info-sharing,neutral,neutral,traitors within right,Here's what traitors within right said about this issue. | Kast must act! | constitution process democracy,0,1,2,0,0,1,0,pre-break,1
post_000091,user_00964,2025-08-05,,,,Left,-0.5388812330009648,Kaiser,constitution/process,attack,disgust,negative,the right,the right is destroying our country! Cope harder. | Kaiser must be stopped! | constitution process democracy | disgusting appalling repulsive,1,0,0,0,0,1,0,pre-break,1
post_000093,user_04099,2025-08-05,,,,Right-Libertarian,1.0,,security/crime,ridicule,disgust,negative,migrants,Can you believe migrants said that? Pathetic. | security violence crime | disgusting appalling repulsive,0,0,0,0,0,1,0,pre-break,1
reply_000094,user_03397,2025-08-05,post_000079,user_02082,Right-Libertarian,Right-Traditional,0.536097510016193,,democracy/institutions,defense,pride,positive,traitors within right,Support traitors within right - they represent our values and our movement. | democracy institutions | proud support victory,0,1,1,0,0,1,0,pre-break,1
post_000096,user_03807,2025-08-05,,,,Right-Traditional,0.4380630167447433,Kast,economy,attack,fear,negative,the right,the right must be defeated. Their supporters are delusional. | Kast must be stopped! | economy jobs inflation | worried concerned terrified,1,0,0,0,0,1,0,pre-break,1
post_000098,user_01731,2025-08-05,,,,Right-Radical-Conservative,0.7486096638843391,,culture/values,attack,fear,negative,government,We cannot allow government to continue this madness. You people are pathetic. | values family tradition | worried concerned terrified,1,0,0,0,0,1,0,pre-break,1
post_000100,user_04606,2025-08-05,,,,Right-Radical-Conservative,0.7332950780382581,,economy,defense,joy,positive,the right,Support the right - they represent our values and our movement. | economy jobs inflation | great excellent fantastic,0,0,0,0,0,1,0,pre-break,1
post_000102,user_02446,2025-08-05,,,,Left,0.33693655266642797,Kaiser,security/crime,call-to-action,fear,negative,the right,Everyone needs to vote against the right. | Kaiser must act! | security violence crime | worried concerned terrified,0,0,0,0,0,1,0,pre-break,1
post_000104,user_01257,2025-08-05,,,,Right-Traditional,0.45494747150172926,,immigration,ridicule,disgust,negative,traitors within right,"traitors within right is a joke, honestly. /s They're so serious. | immigration borders",0,0,0,0,0,1,0,pre-break,1
post_000106,user_00796,2025-08-05,,,,Left,-1.0,,democracy/institutions,identity-boundary,sadness,negative,the right,Real Chileans support the right. | democracy institutions | sad disappointed devastated,0,0,0,0,0,1,0,pre-break,1
reply_000107,user_03763,2025-08-05,reply_000024,user_03886,Left,Right-Traditional,0.63873844705152,Kaiser,immigration,ridicule,pride,positive,the left,"Sure buddy, the left is totally credible. /s | Kaiser must act! | immigration borders",0,1,4,1,0,1,0,pre-break,1
reply_000108,user_00393,2025-08-05,post_000064,user_01531,Right-Traditional,Left,-0.6184149964971428,Jara,constitution/process,attack,fear,negative,judiciary,judiciary is destroying our country! Cope harder. | Jara must be stopped! | constitution process democracy,1,1,1,0,0,1,0,pre-break,1
reply_000109,user_00742,2025-08-05,reply_000006,user_04464,Right-Libertarian,Right-Radical-Conservative,0.7175593123002749,Jara,corruption,info-sharing,anger,negative,the left,Update on the left's position. | Jara must act! | corruption scandal | outrage furious,0,1,2,1,0,1,0,pre-break,1
post_000111,user_04021,2025-08-06,,,,Right-Radical-Conservative,0.9249695492597517,,security/crime,call-to-action,sadness,negative,the left,Everyone needs to vote against the left. | security violence crime | sad disappointed devastated,0,0,0,0,0,2,0,pre-break,1
post_000113,user_04146,2025-08-06,,,,Right-Traditional,0.6407384556952919,Kast,security/crime,attack,anger,negative,the right,the right is destroying our country! Cope harder. | Kast must be stopped! | security violence crime,1,0,0,0,0,2,0,pre-break,1
reply_000114,user_02435,2025-08-06,post_000075,user_03883,Right-Libertarian,Right-Radical-Conservative,0.6288137085989913,Matthei,economy,attack,disgust,negative,the left,the left represents everything wrong. LOL at their agenda. | Matthei must be stopped! | economy jobs inflation,1,1,1,0,0,2,0,pre-break,1
post_000116,user_02005,2025-08-06,,,,Right-Radical-Conservative,0.6928937384333818,Matthei,immigration,info-sharing,hope,positive,none,Update on none's position. | Matthei must act! | immigration borders | hope optimistic confident,0,0,0,0,0,2,0,pre-break,1
reply_000117,user_02374,2025-08-06,post_000042,user_01216,Left,Right-Traditional,0.5119925715391414,Kast,constitution/process,ridicule,anger,negative,media,media is hilarious. Not. | Kast must act! | constitution process democracy,0,1,1,0,0,2,0,pre-break,1
reply_000118,user_01307,2025-08-06,post_000079,user_02082,Right-Libertarian,Left,-0.3616330324950832,Jara,democracy/institutions,ridicule,contempt,negative,none,Can you believe none said that? Pathetic. | Jara must act! | democracy institutions,0,1,1,1,0,2,0,pre-break,1
post_000120,user_01293,2025-08-06,,,,Left,-1.0,Kaiser,corruption,call-to-action,sadness,negative,elites,Everyone needs to vote against elites. | Kaiser must act! | corruption scandal | sad disappointed devastated,0,0,0,0,0,2,0,pre-break,1
post_000122,user_02469,2025-08-06,,,,Left,-0.985292782284749,,immigration,attack,disgust,negative,the right,We cannot allow the right to continue this madness. You people are pathetic. | immigration borders | disgusting appalling repulsive,1,0,0,0,0,2,0,pre-break,1
post_000124,user_00893,2025-08-06,,,,Right-Radical-Conservative,0.8033154124774784,Kast,democracy/institutions,ridicule,disgust,negative,PC,"PC is a joke, honestly. /s They're so serious. | Kast must act! | democracy institutions | disgusting appalling repulsive",0,0,0,0,0,2,0,pre-break,1
reply_000125,user_00481,2025-08-06,post_000073,user_02500,Right-Radical-Conservative,Left,-0.756203929454317,Matthei,immigration,attack,disgust,negative,traitors within right,Wake up! traitors within right is a threat to everything we stand for. | Matthei must be stopped! | immigration borders | disgusting appalling repulsive,1,1,1,0,0,2,0,pre-break,1
post_000127,user_02316,2025-08-06,,,,Right-Radical-Conservative,-0.8545273779306201,,immigration,defense,pride,positive,media,media is fighting for us. We need to back them up. | immigration borders | proud support victory,0,0,0,0,0,2,0,pre-break,1
post_000129,user_00478,2025-08-07,,,,Right-Libertarian,0.6840188980903682,Jara,security/crime,attack,contempt,negative,judiciary,We cannot allow judiciary to continue this madness. You people are pathetic. | Jara must be stopped! | security violence crime | contemptible beneath us,1,0,0,0,0,3,0,pre-break,1
reply_000130,user_03759,2025-08-07,reply_000031,user_03487,Right-Libertarian,Right-Radical-Conservative,0.9019952997196748,,democracy/institutions,attack,disgust,negative,traitors within right,We cannot allow traitors within right to continue this madness. You people are pathetic. | democracy institutions | disgusting appalling repulsive,1,1,2,1,0,3,0,pre-break,1
post_000132,user_04026,2025-08-07,,,,Right-Libertarian,0.8037166619745142,Kast,security/crime,defense,hope,positive,judiciary,Stand with judiciary! Our side needs unity against these attacks. | Support Kast! | security violence crime | hope optimistic confident,0,0,0,0,0,3,0,pre-break,1
post_000134,user_00096,2025-08-07,,,,Right-Radical-Conservative,0.7988041038025074,Matthei,constitution/process,attack,fear,negative,PC,We cannot allow PC to continue this madness. You people are pathetic. | Matthei must be stopped! | constitution process democracy,1,0,0,0,0,3,0,pre-break,1
post_000136,user_03479,2025-08-07,,,,Left,0.5769133707884135,Kast,corruption,ridicule,disgust,negative,the right,"Yeah right, the right knows what they're doing. Sure. | Kast must act! | corruption scandal | disgusting appalling repulsive",0,0,0,0,0,3,0,pre-break,1
reply_000137,user_01559,2025-08-07,post_000013,user_01714,Right-Traditional,Right-Libertarian,0.5353664668595031,Matthei,culture/values,attack,disgust,negative,traitors within right,Wake up! traitors within right is a threat to everything we stand for. | Matthei must be stopped! | values family tradition | disgusting appalling repulsive,1,1,1,1,0,3,0,pre-break,1
reply_000138,user_03356,2025-08-07,post_000136,user_03479,Left,Left,1.0,Kast,immigration,defense,hope,positive,media,Join our side in supporting media. They have the evidence. | Support Kast! | immigration borders | hope optimistic confident,0,1,1,0,0,3,0,pre-break,1
post_000140,user_04101,2025-08-07,,,,Right-Libertarian,0.5363192851891814,Matthei,economy,info-sharing,fear,negative,the left,Update on the left's position. | Matthei must act! | economy jobs inflation,0,0,0,0,0,3,0,pre-break,1
post_000142,user_00663,2025-08-07,,,,Right-Traditional,0.6848787875722024,Kast,economy,attack,anger,negative,the left,Stop the left immediately! You don't understand reality. | Kast must be stopped! | economy jobs inflation,1,0,0,0,0,3,0,pre-break,1
reply_000143,user_02038,2025-08-07,reply_000019,user_00410,Right-Libertarian,Right-Radical-Conservative,0.8582300920327935,Jara,security/crime,attack,anger,negative,traitors within right,Stop traitors within right immediately! You don't understand reality. | Jara must be stopped! | security violence crime | outrage furious enraged,1,1,2,0,0,3,0,pre-break,1
post_000145,user_00498,2025-08-08,,,,Right-Libertarian,0.692636959053517,Kaiser,democracy/institutions,defense,hope,positive,migrants,migrants is fighting for us. We need to back them up. | Support Kaiser! | democracy institutions,0,0,0,0,0,4,0,pre-break,1
post_000147,user_02880,2025-08-08,,,,Right-Radical-Conservative,0.9567811373048376,,security/crime,attack,neutral,neutral,government,government must be defeated. Their supporters are delusional. | security violence crime,1,0,0,0,0,4,0,pre-break,1
reply_000148,user_03367,2025-08-08,post_000075,user_03883,Right-Libertarian,Right-Traditional,0.38226149506160156,Kast,economy,attack,disgust,negative,the left,Stop the left immediately! You don't understand reality. | Kast must be stopped! | economy jobs inflation,1,1,1,1,0,4,0,pre-break,1
post_000150,user_04667,2025-08-08,,,,Left,-0.6557165876551477,Jara,corruption,identity-boundary,disgust,negative,the right,Real Chileans support the right. | Jara must act! | corruption scandal | disgusting appalling repulsive,0,0,0,0,0,4,0,pre-break,1
post_000152,user_00215,2025-08-08,,,,Right-Traditional,0.28208138034106944,,democracy/institutions,info-sharing,pride,positive,elites,Here's what elites said about this issue. | democracy institutions | proud support victory,0,0,0,0,0,4,0,pre-break,1
post_000154,user_01050,2025-08-08,,,,Right-Radical-Conservative,0.9428692955804254,,economy,ridicule,disgust,negative,government,"Yeah right, government knows what they're doing. Sure. | economy jobs inflation | disgusting appalling repulsive",0,0,0,0,0,4,0,pre-break,1
post_000156,user_03989,2025-08-08,,,,Right-Radical-Conservative,0.18237401480089116,Jara,economy,defense,joy,positive,police,Stand with police! Our side needs unity against these attacks. | Support Jara! | economy jobs inflation | great excellent fantastic,0,0,0,0,0,4,0,pre-break,1
post_000158,user_01394,2025-08-08,,,,Right-Traditional,0.41110449336179455,Jara,immigration,ridicule,contempt,negative,traitors within right,"Sure buddy, traitors within right is totally credible. /s | Jara must act! | immigration borders",0,0,0,0,0,4,0,pre-break,1
reply_000159,user_02944,2025-08-08,reply_000025,user_04724,Right-Radical-Conservative,Right-Traditional,0.5855675721072088,,immigration,attack,anger,negative,government,government must be defeated. Their supporters are delusional. | immigration borders | outrage furious enraged,1,1,2,1,0,4,0,pre-break,1
post_000161,user_00164,2025-08-08,,,,Left,-0.8104446088561942,,constitution/process,attack,anger,negative,the right,the right must be defeated. Their supporters are delusional. | constitution process democracy | outrage furious enraged,1,0,0,0,0,4,0,pre-break,1
post_000163,user_03726,2025-08-09,,,,Right-Traditional,0.5418992495456559,,immigration,call-to-action,disgust,negative,elites,Support elites now! | immigration borders | disgusting appalling repulsive,0,0,0,0,0,5,1,pre-break,1
reply_000164,user_00196,2025-08-09,post_000098,user_01731,Right-Radical-Conservative,Right-Traditional,0.7022872994578327,,culture/values,identity-boundary,neutral,neutral,traitors within right,"This is about our values, not traitors within right's agenda. | values family tradition",0,1,1,0,0,5,1,pre-break,1
post_000166,user_03116,2025-08-09,,,,Right-Radical-Conservative,0.7775320674319847,Matthei,immigration,call-to-action,pride,positive,PC,Support PC now! | Matthei must act! | immigration borders | proud support victory,0,0,0,0,0,5,1,pre-break,1
reply_000167,user_01350,2025-08-09,post_000015,user_01118,Right-Traditional,Right-Traditional,0.7743265419874454,Jara,corruption,ridicule,disgust,negative,PC,Can you believe PC said that? Pathetic. | Jara must act! | corruption scandal | disgusting appalling repulsive,0,1,1,1,0,5,1,pre-break,1
post_000169,user_04385,2025-08-09,,,,Left,-0.4473271830098161,Jara,economy,defense,joy,positive,media,media is right. Evidence shows they're doing what's needed. | Support Jara! | economy jobs inflation | great excellent fantastic,0,0,0,0,0,5,1,pre-break,1
post_000171,user_01530,2025-08-09,,,,Right-Radical-Conservative,0.36420393070737356,Matthei,immigration,call-to-action,hope,positive,police,Everyone needs to vote against police. | Matthei must act! | immigration borders | hope optimistic confident,0,0,0,0,0,5,1,pre-break,1
post_000173,user_03526,2025-08-09,,,,Right-Traditional,0.9096556288078304,Kast,economy,info-sharing,anger,negative,PC,Here's what PC said about this issue. | Kast must act! | economy jobs inflation | outrage furious,0,0,0,0,0,5,1,pre-break,1
post_000175,user_01231,2025-08-09,,,,Right-Libertarian,0.4156693760443475,Kaiser,constitution/process,call-to-action,joy,positive,traitors within right,Support traitors within right now! | Kaiser must act! | constitution process democracy | great excellent fantastic,0,0,0,0,0,5,1,pre-break,1
post_000177,user_03951,2025-08-09,,,,Left,-0.6983040445127036,Kaiser,culture/values,defense,pride,positive,the right,Join our side in supporting the right. They have the evidence. | Support Kaiser! | values family tradition | proud support victory,0,0,0,0,0,5,1,pre-break,1
post_000179,user_02763,2025-08-09,,,,Left,-0.8799715943270536,Kast,constitution/process,call-to-action,pride,positive,the right,Everyone needs to vote against the right. | Kast must act! | constitution process democracy | proud support victory,0,0,0,0,0,5,1,pre-break,1
